Long_Desc,NutrDesc,Nutr_Val,Amount,Msre_Desc,Gm_Wgt
Pudding;  lemon;  dry mix;  regular;  prepared with sugar;  egg yolk and water,Water,73.62,0.5,cup,127
Vegetables;  mixed;  frozen;  cooked;  boiled;  drained;  with salt,Water,83.23,0.5,cup,91
CAMPBELL'S Red and White;  Chicken Barley with Mushrooms Soup;  condensed,Water,81.8,0.5,cup,126
Puddings;  tapioca;  dry mix;  prepared with 2% milk,Water,75.01,0.5,cup,128
Campbell's Pork and Beans,Water,73.7,0.5,cup,130
Ice creams;  vanilla;  fat free,Water,64.35,0.5,cup,67
Puddings;  banana;  dry mix;  instant;  prepared with whole milk,Water,73.62,0.5,cup,127
Turnip greens;  frozen;  cooked;  boiled;  drained;  with salt,Water,90.4,0.5,cup,82
Spinach;  frozen;  chopped or leaf;  cooked;  boiled;  drained;  with salt,Water,88.94,0.5,cup,95
Potatoes;  boiled;  cooked without skin;  flesh;  with salt,Water,77.46,0.5,cup,78
Frozen yogurts;  vanilla;  soft-serve,Water,65.3,0.5,cup,72
Peas;  green;  canned;  no salt added;  drained solids,Water,81.7,0.5,cup,85
Potatoes;  microwaved;  cooked in skin;  flesh;  with salt,Water,73.55,0.5,cup,78
Ice creams;  vanilla;  rich,Water,57.2,0.5,cup,107
Potatoes;  boiled;  cooked in skin;  flesh;  with salt,Water,76.98,0.5,cup,78
Puddings;  rice;  dry mix;  prepared with 2% milk,Water,73.43,0.5,cup,128
Tofu;  raw;  firm;  prepared with calcium sulfate,Water,69.83,0.5,cup,126
Peas;  green;  frozen;  cooked;  boiled;  drained;  with salt,Water,79.52,0.5,cup,80
Puddings;  lemon;  dry mix;  instant;  prepared with whole milk,Water,73.2,0.5,cup,147
Peas and carrots;  frozen;  cooked;  boiled;  drained;  with salt,Water,85.8,0.5,cup,80
Spanish rice mix;  dry mix;  unprepared,Water,7.27,0.5,cup,70
SILK Nog;  soymilk,Water,82.96,0.5,cup,122
PACE;  Traditional Refried Beans,Water,82.7,0.5,cup,120
Puddings;  coconut cream;  dry mix;  regular;  prepared with whole milk,Water,74.6,0.5,cup,140
Puddings;  coconut cream;  dry mix;  instant;  prepared with whole milk,Water,73.4,0.5,cup,147
Potatoes;  baked;  flesh and skin;  with salt,Water,74.89,0.5,cup,61
PACE;  Salsa Refried Beans,Water,82.2,0.5,cup,120
